,country,total_bids,robot_bids,fraction_total_robot
138,om,5833,674.0,0.1155494599691411
139,pa,4505,579.0,0.12852386237513874
140,pe,1347,265.0,0.19673348181143283
141,pf,14,9.0,0.6428571428571429
142,pg,292,3.0,0.010273972602739725
143,ph,23434,4818.0,0.20559870273960912
144,pk,23222,1163.0,0.05008181896477478
145,pl,14070,1688.0,0.11997157071783937
146,pr,1296,550.0,0.4243827160493827
147,ps,48,29.0,0.6041666666666666
148,pt,1545,258.0,0.1669902912621359
149,py,6126,217.0,0.03542278811622592
150,qa,6062,572.0,0.09435829759155394
151,re,14,6.0,0.42857142857142855
152,ro,19563,1138.0,0.05817103716198947
153,rs,20849,458.0,0.02196748045469807
154,ru,53874,11100.0,0.20603630693841185
155,rw,2203,89.0,0.040399455288243305
156,sa,31735,5626.0,0.17728060501024107
157,sb,17,0.0,0.0
158,sc,237,5.0,0.02109704641350211
159,sd,5080,177.0,0.03484251968503937
160,se,5269,2479.0,0.4704877585879674
161,sg,9604,2780.0,0.2894627238650562
162,si,1829,291.0,0.15910333515582287
163,sk,2200,517.0,0.235
164,sl,870,21.0,0.02413793103448276
165,sn,1660,37.0,0.022289156626506025
166,so,1048,9.0,0.008587786259541985
167,sr,39,22.0,0.5641025641025641
168,sv,5839,307.0,0.05257749614660045
169,sy,488,172.0,0.3524590163934426
170,sz,1279,36.0,0.028146989835809225
171,tc,1,1.0,1.0
172,td,168,2.0,0.011904761904761904
173,tg,1212,42.0,0.034653465346534656
174,th,84714,17282.0,0.2040040607219586
175,tj,105,9.0,0.08571428571428572
176,tl,6,1.0,0.16666666666666666
177,tm,53,43.0,0.8113207547169812
178,tn,2434,251.0,0.10312243221035333
179,tr,84896,6676.0,0.07863739163211458
180,tt,377,42.0,0.11140583554376658
181,tw,2614,1285.0,0.49158377964804895
182,tz,7179,179.0,0.024933834795932582
183,ua,23320,2875.0,0.12328473413379074
184,ug,2800,70.0,0.025
185,uk,52863,8782.0,0.1661275372188487
186,us,140043,66663.0,0.47601808016109337
187,uy,101,16.0,0.15841584158415842
188,uz,222,62.0,0.27927927927927926
189,ve,3826,106.0,0.02770517511761631
190,vi,8,8.0,1.0
191,vn,90996,7696.0,0.08457514616027079
192,ws,5,0.0,0.0
193,ye,458,50.0,0.1091703056768559
194,za,155338,13364.0,0.08603175011909514
195,zm,15522,461.0,0.029699780956062363
196,zw,14924,236.0,0.015813454837845083
197,zz,4,1.0,0.25
